label,kind,selection_score,passes_is_preservation,dev_return_pct,dev_trades,dev_pf,dev_exp_r,dev_exit_eff,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_exp_r,oos_exit_eff,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
perturb_strategy__momentum__symbol_filter.sol_direction__disabled,perturbation,72.76093376502408,False,60.775523595460925,41.0,6.26308816870053,0.5279999526522462,0.5086939687094161,3.846207393448526,35.84981864552043,33.0,3.4140948539892078,0.42965129385304757,0.4291977724130701,5.421045134841099,-5.87944277534703,-4.0,2.1103197262637536,-6.0,Perturb accepted cumulative strategy field.
targeted_momentum_sol_disabled,targeted,72.76093376502408,False,60.775523595460925,41.0,6.26308816870053,0.5279999526522462,0.5086939687094161,3.846207393448526,35.84981864552043,33.0,3.4140948539892078,0.42965129385304757,0.4291977724130701,5.421045134841099,-5.87944277534703,-4.0,2.1103197262637536,-6.0,Targeted OOS repair probe.
targeted_trend_eth_short_only,targeted,72.67835109910921,False,60.68957720735605,42.0,6.022735877424368,0.5319489587792096,0.5036792472099838,3.2526442618622573,33.56326065898733,36.0,2.5560846651522247,0.36820162622230435,0.44844745156040583,5.6521456180452105,-5.965389163451903,-3.0,-0.17623826026934353,-3.0,Targeted OOS repair probe.
targeted_oos_weak_sleeve_combo,targeted,72.66458368466591,False,55.04284865375474,40.0,6.37369698115358,0.5279133960759488,0.5070085456575866,3.8462073934485135,35.88404656083416,32.0,4.336078779013694,0.46237924386844875,0.4291977724130701,3.635790829276949,-11.612117717053216,-5.0,2.144547641577482,-7.0,Targeted OOS repair probe.
perturb_strategy_active_cumulative__trend__setup.orderly_max_body_frac__0.72,perturbation,72.61620557874963,False,61.584682022979045,41.0,6.643951239005293,0.5498626093395739,0.49672836496111156,3.1096202137347464,34.59446420315642,35.0,2.690969962396179,0.3889494678858251,0.4700675926372455,5.156942608668761,-5.07028434782891,-4.0,0.8549652838997446,-4.0,Perturb active cumulative strategy diff versus pre-round baseline.
ablate_portfolio_field__portfolio.symbol_collision,ablation,72.56568596269307,True,65.8557377711616,44.0,6.272202628365623,0.5322334907040253,0.5056869412691639,3.846207393448526,31.731608647398623,36.0,2.73745712661743,0.3458315214310499,0.4412287806894159,5.652145618045223,-0.7992285996463551,-1.0,-2.0078902718580522,-3.0,Remove current policy key portfolio.symbol_collision.
ablate_portfolio_phase_4,ablation,72.56568596269307,True,65.8557377711616,44.0,6.272202628365623,0.5322334907040253,0.5056869412691639,3.846207393448526,31.731608647398623,36.0,2.73745712661743,0.3458315214310499,0.4412287806894159,5.652145618045223,-0.7992285996463551,-1.0,-2.0078902718580522,-3.0,Remove accepted keys from one portfolio phase.
perturb_symbol_collision_block,perturbation,72.56568596269307,True,65.8557377711616,44.0,6.272202628365623,0.5322334907040253,0.5056869412691639,3.846207393448526,31.731608647398623,36.0,2.73745712661743,0.3458315214310499,0.4412287806894159,5.652145618045223,-0.7992285996463551,-1.0,-2.0078902718580522,-3.0,
targeted_frequency_preserve_sol_rotation,targeted,72.55201230573915,False,58.46628344935173,40.0,6.045902668083239,0.5125464557508909,0.5016130131264741,3.846207393448527,36.56260042092251,33.0,3.4373626951071503,0.4296512938530475,0.4291977724130701,5.531197330118666,-8.188682921456227,-5.0,2.823101501665832,-6.0,Targeted OOS repair probe.
perturb_strategy_active_cumulative__breakout__profile.lookback_bars__39,perturbation,72.51771996572005,False,62.741350824399014,44.0,5.948331015361043,0.5209450878138503,0.5025880848911525,3.846207393448512,25.51315193924989,41.0,1.9540794339084058,0.2714282354200042,0.42815841579709496,6.664957786107246,-3.9136155464089413,-1.0,-8.226346980006785,2.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy__momentum__confirmation.volume_threshold_mult__1.21,perturbation,72.33736784117463,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,29.334914806069545,38.0,2.396417310153427,0.29872643432405577,0.4210852661131595,5.42104513484112,0.0,0.0,-4.404584113187131,-1.0,Perturb accepted cumulative strategy field.
perturb_strategy__momentum__confirmation.volume_threshold_mult__1.32,perturbation,72.33736784117463,True,66.89286676304147,44.0,6.441550019497724,0.539800987304169,0.5016298044946584,3.846207393448526,29.334914806069545,38.0,2.396417310153427,0.29872643432405577,0.4210852661131595,5.42104513484112,0.237900392233513,-1.0,-4.404584113187131,-1.0,Perturb accepted cumulative strategy field.
targeted_momentum_volume_120,targeted,72.33736784117463,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,29.334914806069545,38.0,2.396417310153427,0.29872643432405577,0.4210852661131595,5.42104513484112,0.0,0.0,-4.404584113187131,-1.0,Targeted OOS repair probe.
targeted_momentum_volume_130,targeted,72.33736784117463,True,66.89286676304147,44.0,6.441550019497724,0.539800987304169,0.5016298044946584,3.846207393448526,29.334914806069545,38.0,2.396417310153427,0.29872643432405577,0.4210852661131595,5.42104513484112,0.237900392233513,-1.0,-4.404584113187131,-1.0,Targeted OOS repair probe.
perturb_strategy_active_cumulative__breakout__confirmation.model1_min_volume_mult__1.44,perturbation,72.13285952425409,False,64.0977657705991,44.0,6.197079887687594,0.5263234512446924,0.49980759188315865,3.8462073934485357,28.572534090941033,38.0,2.347069484741102,0.31466075718572956,0.41276661861605407,5.421045134841057,-2.5572006002088585,-1.0,-5.166964828315642,-1.0,Perturb active cumulative strategy diff versus pre-round baseline.
targeted_breakout_model1_volume_140,targeted,72.13285952425409,False,64.0977657705991,44.0,6.197079887687594,0.5263234512446924,0.49980759188315865,3.8462073934485357,28.572534090941033,38.0,2.347069484741102,0.31466075718572956,0.41276661861605407,5.421045134841057,-2.5572006002088585,-1.0,-5.166964828315642,-1.0,Targeted OOS repair probe.
ablate_strategy_active_cumulative_to_base__breakout__profile.recalc_interval_bars,ablation,72.13249330820004,True,68.05652390656509,43.0,7.044282078633379,0.5552764098579716,0.5133563785386107,3.846207393448526,28.557964009186747,38.0,2.3456439910401365,0.3145679623070222,0.41276661861605407,5.431763000163997,1.401557535757135,-2.0,-5.181534910069928,-1.0,"Revert active cumulative strategy diff to pre-round baseline (builtin:crypto_trader.optimize.breakout_round3_pre_round1.build_pre_round1_config). aliases=perturb_strategy_active_cumulative__breakout__profile.recalc_interval_bars__2,ablate_strategy_to_round1__breakout__profile.recalc_interval_bars,ablate_strategy_to_round2__breakout__profile.recalc_interval_bars,perturb_strategy__breakout__profile.recalc_interval_bars__2"
perturb_risk_all_0.95,perturbation,71.79289219014481,False,53.21169650975056,45.0,6.4310045196483925,0.5264376460104578,0.5016298044946584,3.1826730853842506,27.874512923706263,39.0,2.5864642377109006,0.34007562361563126,0.42895017916941286,4.6142123615999875,-13.443269861057395,0.0,-5.864985995550413,0.0,
perturb_strategy_active_cumulative__breakout__profile.lookback_bars__40,perturbation,71.68169147462729,False,49.69999866577046,43.0,4.405177738726766,0.45938432378012234,0.5027205811165728,3.8462073934484935,29.316096416493675,40.0,2.2428734673064668,0.30160499293194515,0.4286382471538441,6.664957786107246,-16.954967705037497,-2.0,-4.423402502763,1.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy_active_cumulative__trend__setup.min_setup_score_b__1.62,perturbation,71.64279575902854,False,46.97751699915907,40.0,5.183366275178637,0.47636608236391176,0.4702917996387344,3.0478457453458963,33.41271096872617,38.0,2.540443685280532,0.34672459880189893,0.44844745156040594,5.652145618045181,-19.677449371648883,-5.0,-0.3267879505305089,-1.0,Perturb active cumulative strategy diff versus pre-round baseline.
ablate_strategy_to_round1__momentum__symbol_filter.eth_direction,ablation,71.34446313128822,True,65.24551036999982,46.0,5.813043460779392,0.5046027851236726,0.5016298044946584,3.846207393448526,19.05215180755494,44.0,1.6275661493526992,0.19795860715585312,0.42895017916941286,9.0550378016256,-1.4094560008081345,1.0,-14.687347111701737,5.0,"Revert one cumulative accepted strategy field to round 1. aliases=ablate_strategy_to_round2__momentum__symbol_filter.eth_direction,perturb_strategy__momentum__symbol_filter.eth_direction__both"
perturb_strategy_active_cumulative__breakout__profile.recalc_interval_bars__3,perturbation,71.20921282400887,False,60.054034064905245,43.0,6.0274021838385226,0.4855273843739608,0.505184236765862,3.846207393448526,22.345423588681484,42.0,1.8318790677391394,0.26071829752057746,0.43080708389208283,6.628869576951367,-6.60093230590271,-2.0,-11.394075330575191,3.0,Perturb active cumulative strategy diff versus pre-round baseline. aliases=perturb_strategy__breakout__profile.recalc_interval_bars__3
ablate_strategy_to_round1__trend__exits.scratch_floor_r,ablation,71.2066358892605,True,67.94764549225701,45.0,6.804734589775012,0.5325046745233184,0.5016298044946584,3.846207393448526,25.870630267473228,39.0,2.204332769853329,0.2840364008787346,0.4027423509438128,5.750978808945425,1.292679121449055,0.0,-7.868868651783448,0.0,Revert one cumulative accepted strategy field to round 1. aliases=ablate_strategy_to_round1__trend__exits.scratch_floor_r
perturb_symbol_exposure_cap_1.50,perturbation,71.00619115673432,True,65.8557377711616,44.0,6.272202628365623,0.5322334907040253,0.5056869412691639,3.846207393448526,29.018889308119544,37.0,2.3834351583645668,0.3044375658858557,0.4412287806894159,5.652145618045223,-0.7992285996463551,-1.0,-4.720609611137132,-2.0,
ablate_strategy_active_cumulative_to_base__trend__risk.risk_pct_b,ablation,70.82629499378261,False,47.832229021971344,45.0,6.2527173080773775,0.5264376460104578,0.5016298044946584,2.6772423113881447,28.749197805547507,39.0,2.422441167847412,0.3400756236156312,0.42895017916941286,4.7639603113017595,-18.82273734883661,0.0,-4.990301113709169,0.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml).
ablate_strategy_to_round2__breakout__symbol_filter.sol_direction,ablation,69.91516631996888,True,66.1807537775255,44.0,6.288886972398493,0.5344265753988925,0.5133563785386107,3.846207393448526,25.51913896687633,38.0,2.1793420811769195,0.29427292634315994,0.413751672023643,5.4210451348411,-0.47421259328245924,-1.0,-8.220359952380345,-1.0,Revert field to value before accepted strategy round 3. aliases=perturb_strategy__breakout__symbol_filter.sol_direction__short_only
ablate_strategy_to_round1__momentum__symbol_filter.btc_direction,ablation,69.84954436811921,True,66.25488450962814,46.0,6.163452757021069,0.5120669857225701,0.5016298044946584,3.846207393448526,21.959308894817994,41.0,1.7406231419181,0.22992464649300082,0.4211703294992916,7.884318300607726,-0.4000818611798138,1.0,-11.780190024438681,2.0,"Revert one cumulative accepted strategy field to round 1. aliases=ablate_strategy_to_round2__momentum__symbol_filter.btc_direction,perturb_strategy__momentum__symbol_filter.btc_direction__both"
perturb_strategy_active_cumulative__trend__symbol_filter.btc_direction__disabled,perturbation,69.75976857883072,False,54.27183364056537,39.0,6.401821587841368,0.5344571561525406,0.4927327050903985,2.7739925723725976,32.117191695040965,36.0,2.521139234301148,0.3464178227086924,0.44424745021615286,5.715721027428213,-12.383132730242586,-6.0,-1.6223072242157102,-3.0,Perturb active cumulative strategy diff versus pre-round baseline.
targeted_trend_btc_disabled,targeted,69.75976857883072,False,54.27183364056537,39.0,6.401821587841368,0.5344571561525406,0.4927327050903985,2.7739925723725976,32.117191695040965,36.0,2.521139234301148,0.3464178227086924,0.44424745021615286,5.715721027428213,-12.383132730242586,-6.0,-1.6223072242157102,-3.0,Targeted OOS repair probe.
perturb_strategy__breakout__symbol_filter.sol_direction__disabled,perturbation,69.71451179044077,False,63.15169372316741,43.0,6.080404974558649,0.5202006857870886,0.5067270908561355,3.846207393448526,25.51913896687633,38.0,2.1793420811769195,0.29427292634315994,0.413751672023643,5.4210451348411,-3.503272647640543,-2.0,-8.220359952380345,-1.0,Perturb accepted cumulative strategy field.
