label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
combo_body108_scorea250_momrisk018,combo,48.878440795220186,True,True,71.13838497963926,46.0,5.767314676945066,3.846207393448526,44.676009741876506,43.0,2.5542123129145673,5.688647630100237,4.4834186088313,1.0,10.93651082261983,4.0,
extended_body1p08_momentum_risk_b_0.0195,extended,48.123385333216284,True,True,74.01511291583581,46.0,5.687106163292396,3.846207393448526,44.518949392739714,43.0,2.4706199841087284,5.815461695556971,7.36014654502786,1.0,10.779450473483038,4.0,
extended_body1p1_momentum_risk_b_0.0195,extended,48.123385333216284,True,True,69.9537347216821,47.0,4.858851963301895,4.880945450062579,44.518949392739714,43.0,2.4706199841087284,5.815461695556971,3.298768350874141,2.0,10.779450473483038,4.0,
extended_body1p12_momentum_risk_b_0.0195,extended,48.123385333216284,True,True,74.86165603953003,48.0,5.013680217526281,5.7942315073132775,44.518949392739714,43.0,2.4706199841087284,5.815461695556971,8.206689668722078,3.0,10.779450473483038,4.0,
extended_body108_risk_all_1.4,extended,47.971629490511,True,True,72.75203222056449,46.0,5.735762919314237,3.901403566703282,44.488906444562595,43.0,2.5144770444422266,5.847045745553779,6.097065849756532,1.0,10.74940752530592,4.0,
combo_body108_momentum_risk_b_0.019,combo,46.21174115970646,True,True,73.05254548758808,46.0,5.713393396383637,3.846207393448526,44.03059633302386,43.0,2.4874362822651377,5.773693630203371,6.397579116780122,1.0,10.291097413767183,4.0,
combo_body108_scorea250_riskall125,combo,45.514506857808804,True,True,69.04901855662722,46.0,5.856124679129648,3.901403566703282,43.983360449302594,43.0,2.6344574564262575,5.676036583035233,2.3940521858192625,1.0,10.243861530045919,4.0,
extended_body108_risk_all_1.35,extended,45.319858465375866,True,True,71.51161625912738,46.0,5.774871180662027,3.901403566703282,43.8119331950376,43.0,2.542389428519918,5.790923772588915,4.856649888319424,1.0,10.072434275780921,4.0,
extended_body108_risk_all_1.32,extended,43.72700012588619,True,True,70.7702871376733,46.0,5.798810181303541,3.901403566703282,43.40519525862776,43.0,2.5598704661349996,5.756830366439229,4.115320766865338,1.0,9.665696339371081,4.0,
combo_body108_risk_all_1.3,combo,42.664363936031975,True,True,70.27728280761715,46.0,5.814973967397953,3.901403566703282,43.133809804198975,43.0,2.571849025378936,5.733924738578321,3.6223164368092,1.0,9.3943108849423,4.0,
combo_body108_scorea250_breakbody0715,combo,42.38635011318431,True,False,66.36301284555357,46.0,6.2393068338048865,3.846207393448526,43.95907482886635,42.0,2.9342503378259863,4.647685466035649,-0.2919535252543852,1.0,10.219575909609674,3.0,
combo_body108_momentum_risk_b_0.018,combo,42.38231410674144,True,True,71.13838497963926,46.0,5.767314676945066,3.846207393448526,43.05197806975682,43.0,2.5228146226607318,5.688647630100241,4.4834186088313,1.0,9.312479150500145,4.0,
combo_body108_risk_all_1.28,combo,41.60115310775342,True,True,69.7852495502214,46.0,5.831305374837437,3.901403566703282,42.86224512592709,43.0,2.584098574296583,5.710876853769334,3.130283179413439,1.0,9.122746206670413,4.0,
combo_body108_momentum_risk_b_0.01725,combo,39.50506994799423,True,True,69.7123417994509,46.0,5.809001850135668,3.846207393448526,42.31638543318049,43.0,2.55101833506076,5.623521242542142,3.057375428642942,1.0,8.576886513923817,4.0,
combo_body108_risk_all_1.25,combo,39.39933012767488,True,True,69.04901855662722,46.0,5.856124679129648,3.901403566703282,42.454566266769106,43.0,2.6030036750097003,5.676036583035207,2.3940521858192625,1.0,8.71506734751243,4.0,
combo_body108_risk_momentum_1.3,combo,38.75125573993926,True,True,69.12505783476064,46.0,5.813079436720579,3.846207393448526,42.25395856277406,43.0,2.5685027298021876,5.597719432924059,2.4700914639526843,1.0,8.514459643517384,4.0,
extended_body108_scorea250_breakbody0715_momrisk_0.02,extended,38.74576440009953,True,True,76.6304441627448,45.0,6.118304593049222,3.846207393448526,42.435531163470294,41.0,2.502916093849072,5.659409711596045,9.97547779193684,0.0,8.696032244213619,2.0,
combo_body108_breakout_body_ratio_0.68,combo,37.827126587341866,True,False,66.36301284555357,46.0,6.2393068338048865,3.846207393448526,42.81926894740574,42.0,2.9159615864795696,4.647685466035636,-0.2919535252543852,1.0,9.079770028149063,3.0,
combo_body108_breakout_body_ratio_0.7,combo,37.827126587341866,True,False,66.36301284555357,46.0,6.2393068338048865,3.846207393448526,42.81926894740574,42.0,2.9159615864795696,4.647685466035636,-0.2919535252543852,1.0,9.079770028149063,3.0,
combo_body108_risk_all_1.22,combo,37.068158801588915,True,True,68.3149676662698,46.0,5.881341873938128,3.901403566703282,42.04649496479874,43.0,2.6225788358841418,5.640871810882278,1.6600012954618393,1.0,8.306996045542064,4.0,
combo_body108_breakout_body_ratio_0.715,combo,35.87006517824656,True,False,66.36301284555357,46.0,6.2393068338048865,3.846207393448526,42.33000359513191,42.0,2.8962049465314355,4.647685466035636,-0.2919535252543852,1.0,8.590504675875238,3.0,
combo_body108_momentum_risk_b_0.0165,combo,35.26309680288678,True,True,68.29448340760578,46.0,5.851827248798442,3.846207393448526,41.579438698178684,43.0,2.5808067299778368,5.5572244844401855,1.6395170367978267,1.0,7.839939778922009,4.0,
combo_body108_risk_momentum_1.25,combo,34.720770313775354,True,True,67.90510591379233,46.0,5.854617963153912,3.846207393448526,41.536829054093104,43.0,2.5929822750827,5.539734903395832,1.2501395429843711,1.0,7.797330134836429,4.0,
combo_body108_risk_all_1.2,combo,34.54415850624346,True,True,67.64931249430875,46.0,5.89769668961653,3.901403566703279,41.568413554618715,43.0,2.630934841724832,5.5868912935465875,0.9943461235007902,1.0,7.82891463536204,4.0,
combo_body108_trend_min_score_a_2.2,combo,33.73121298247471,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,41.8652354384711,43.0,2.696811377742281,5.421045134841144,-1.171733094382958,1.0,8.125736519214428,4.0,
combo_body108_trend_sol_short_only,targeted,33.39919797635925,True,True,68.33352357216933,43.0,7.102697229311705,3.846207393448526,41.36965911300614,41.0,2.7663737089155034,4.647685466035636,1.6785572013613717,-2.0,7.630160193749468,2.0,
combo_body108_trend_min_score_a_2.255,combo,33.09107432388263,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,41.70520077382307,43.0,2.682165393275575,5.421045134841072,-1.171733094382958,1.0,7.965701854566397,4.0,
combo_body108_trend_min_score_a_2.35,combo,33.09107432388263,True,False,65.483233276425,46.0,5.941174961155169,3.846207393448526,41.70520077382307,43.0,2.682165393275575,5.421045134841072,-1.171733094382958,1.0,7.965701854566397,4.0,
